Trajectory,Method,RMSE ATE,Median ATE,RMSE RPE,Median RPE,Scale Drift
infinity,Vision-Only,17.926079092108317,10.229840980521747,2.3198919225583348,2.025599696354085,0.12550652297707288
infinity,IMU-Only,8.909624697682407,8.606356314836251,2.390121620476246,2.1831520778647286,0.11368393494625423
infinity,Visual-Inertial,12.169949356005267,7.856629093957522,2.4724053994336512,2.116889937074649,0.15039595946127432
random,Vision-Only,31.498936959261297,21.508603335784613,3.225217612213835,2.7951805342001563,0.23158067573933247
random,IMU-Only,9.504306563051788,7.222418545599593,3.1136119658378227,2.778004769258145,0.24042671285367567
random,Visual-Inertial,20.806952079066317,12.599616402961402,3.2520278036601575,2.8994199247565833,0.23530361408122683
spiral,Vision-Only,15.982672957508163,10.674855671134086,1.7870219723223004,1.83830535739229,0.15455104443911638
spiral,IMU-Only,7.909136529326375,7.730282958580339,1.9361059529633302,1.7356239608447432,0.21737822524404532
spiral,Visual-Inertial,10.979554380178591,8.41393644309327,1.8886738866183623,1.7870023607921208,0.1932212886035867
